filepaths,labels,data set
Database\train\circle\circle-139.jpg,circle,train
Database\train\circle\circle-1390.jpg,circle,train
Database\train\circle\circle-1391.jpg,circle,train
Database\train\circle\circle-1392.jpg,circle,train
Database\train\circle\circle-1393.jpg,circle,train
Database\train\circle\circle-1394.jpg,circle,train
Database\train\circle\circle-1395.jpg,circle,train
Database\train\circle\circle-1396.jpg,circle,train
Database\train\circle\circle-1397.jpg,circle,train
Database\train\circle\circle-1398.jpg,circle,train
Database\train\circle\circle-1399.jpg,circle,train
Database\train\circle\circle-14.jpg,circle,train
Database\train\circle\circle-140.jpg,circle,train
Database\train\circle\circle-1400.jpg,circle,train
Database\train\circle\circle-1401.jpg,circle,train
Database\train\circle\circle-1402.jpg,circle,train
Database\train\circle\circle-1403.jpg,circle,train
Database\train\circle\circle-1404.jpg,circle,train
Database\train\circle\circle-1405.jpg,circle,train
Database\train\circle\circle-1406.jpg,circle,train
Database\train\circle\circle-1407.jpg,circle,train
Database\train\circle\circle-1408.jpg,circle,train
Database\train\circle\circle-1409.jpg,circle,train
Database\train\circle\circle-141.jpg,circle,train
Database\train\circle\circle-1410.jpg,circle,train
Database\train\circle\circle-1411.jpg,circle,train
Database\train\circle\circle-1412.jpg,circle,train
Database\train\circle\circle-1413.jpg,circle,train
Database\train\circle\circle-1414.jpg,circle,train
Database\train\circle\circle-1415.jpg,circle,train
Database\train\circle\circle-1416.jpg,circle,train
Database\train\circle\circle-1417.jpg,circle,train
Database\train\circle\circle-1418.jpg,circle,train
Database\train\circle\circle-1419.jpg,circle,train
Database\train\circle\circle-142.jpg,circle,train
Database\train\circle\circle-1420.jpg,circle,train
Database\train\circle\circle-1421.jpg,circle,train
Database\train\circle\circle-1422.jpg,circle,train
Database\train\circle\circle-1423.jpg,circle,train
Database\train\circle\circle-1424.jpg,circle,train
Database\train\circle\circle-1425.jpg,circle,train
Database\train\circle\circle-1426.jpg,circle,train
Database\train\circle\circle-1427.jpg,circle,train
Database\train\circle\circle-1428.jpg,circle,train
Database\train\circle\circle-1429.jpg,circle,train
Database\train\circle\circle-143.jpg,circle,train
Database\train\circle\circle-1430.jpg,circle,train
Database\train\circle\circle-1431.jpg,circle,train
Database\train\circle\circle-1432.jpg,circle,train
Database\train\circle\circle-1433.jpg,circle,train
Database\train\circle\circle-1434.jpg,circle,train
Database\train\circle\circle-1435.jpg,circle,train
Database\train\circle\circle-1436.jpg,circle,train
Database\train\circle\circle-1437.jpg,circle,train
Database\train\circle\circle-1438.jpg,circle,train
Database\train\circle\circle-1439.jpg,circle,train
Database\train\circle\circle-144.jpg,circle,train
Database\train\circle\circle-1440.jpg,circle,train
Database\train\circle\circle-1441.jpg,circle,train
Database\train\circle\circle-1442.jpg,circle,train
Database\train\circle\circle-1443.jpg,circle,train
Database\train\circle\circle-1444.jpg,circle,train
Database\train\circle\circle-1445.jpg,circle,train
Database\train\circle\circle-1446.jpg,circle,train
Database\train\circle\circle-1447.jpg,circle,train
Database\train\circle\circle-1448.jpg,circle,train
Database\train\circle\circle-1449.jpg,circle,train
Database\train\circle\circle-145.jpg,circle,train
Database\train\circle\circle-1450.jpg,circle,train
Database\train\circle\circle-1451.jpg,circle,train
Database\train\circle\circle-1452.jpg,circle,train
Database\train\circle\circle-1453.jpg,circle,train
Database\train\circle\circle-1454.jpg,circle,train
Database\train\circle\circle-1455.jpg,circle,train
Database\train\circle\circle-1456.jpg,circle,train
Database\train\circle\circle-1457.jpg,circle,train
Database\train\circle\circle-1458.jpg,circle,train
Database\train\circle\circle-1459.jpg,circle,train
Database\train\circle\circle-146.jpg,circle,train
Database\train\circle\circle-1460.jpg,circle,train
Database\train\circle\circle-1461.jpg,circle,train
Database\train\circle\circle-1462.jpg,circle,train
Database\train\circle\circle-1463.jpg,circle,train
Database\train\circle\circle-1464.jpg,circle,train
Database\train\circle\circle-1465.jpg,circle,train
Database\train\circle\circle-1466.jpg,circle,train
Database\train\circle\circle-1467.jpg,circle,train
Database\train\circle\circle-1468.jpg,circle,train
Database\train\circle\circle-1469.jpg,circle,train
Database\train\circle\circle-147.jpg,circle,train
Database\train\circle\circle-1470.jpg,circle,train
Database\train\circle\circle-1471.jpg,circle,train
Database\train\circle\circle-1472.jpg,circle,train
Database\train\circle\circle-1473.jpg,circle,train
Database\train\circle\circle-1474.jpg,circle,train
Database\train\circle\circle-1475.jpg,circle,train
Database\train\circle\circle-1476.jpg,circle,train
Database\train\circle\circle-1477.jpg,circle,train
Database\train\circle\circle-1478.jpg,circle,train
Database\train\circle\circle-1479.jpg,circle,train
Database\train\circle\circle-148.jpg,circle,train
Database\train\circle\circle-1480.jpg,circle,train
Database\train\circle\circle-1481.jpg,circle,train
Database\train\circle\circle-1482.jpg,circle,train
Database\train\circle\circle-1483.jpg,circle,train
Database\train\circle\circle-1484.jpg,circle,train
Database\train\circle\circle-1485.jpg,circle,train
Database\train\circle\circle-1486.jpg,circle,train
Database\train\circle\circle-1487.jpg,circle,train
Database\train\circle\circle-1488.jpg,circle,train
Database\train\circle\circle-1489.jpg,circle,train
Database\train\circle\circle-149.jpg,circle,train
Database\train\circle\circle-1490.jpg,circle,train
Database\train\circle\circle-1491.jpg,circle,train
Database\train\circle\circle-1492.jpg,circle,train
Database\train\circle\circle-1493.jpg,circle,train
Database\train\circle\circle-1494.jpg,circle,train
Database\train\circle\circle-1495.jpg,circle,train
Database\train\circle\circle-1496.jpg,circle,train
Database\train\circle\circle-1497.jpg,circle,train
Database\train\circle\circle-1498.jpg,circle,train
Database\train\circle\circle-1499.jpg,circle,train
Database\train\circle\circle-15.jpg,circle,train
Database\train\circle\circle-150.jpg,circle,train
Database\train\circle\circle-151.jpg,circle,train
Database\train\circle\circle-152.jpg,circle,train
Database\train\circle\circle-153.jpg,circle,train
Database\train\circle\circle-154.jpg,circle,train
Database\train\circle\circle-155.jpg,circle,train
Database\train\circle\circle-156.jpg,circle,train
Database\train\circle\circle-157.jpg,circle,train
Database\train\circle\circle-158.jpg,circle,train
Database\train\circle\circle-159.jpg,circle,train
Database\train\circle\circle-16.jpg,circle,train
Database\train\circle\circle-160.jpg,circle,train
Database\train\circle\circle-161.jpg,circle,train
Database\train\circle\circle-162.jpg,circle,train
Database\train\circle\circle-163.jpg,circle,train
Database\train\circle\circle-164.jpg,circle,train
Database\train\circle\circle-165.jpg,circle,train
Database\train\circle\circle-166.jpg,circle,train
Database\train\circle\circle-167.jpg,circle,train
Database\train\circle\circle-168.jpg,circle,train
Database\train\circle\circle-169.jpg,circle,train
Database\train\circle\circle-17.jpg,circle,train
Database\train\circle\circle-170.jpg,circle,train
Database\train\circle\circle-171.jpg,circle,train
Database\train\circle\circle-172.jpg,circle,train
Database\train\circle\circle-173.jpg,circle,train
Database\train\circle\circle-174.jpg,circle,train
Database\train\circle\circle-175.jpg,circle,train
Database\train\circle\circle-176.jpg,circle,train
Database\train\circle\circle-177.jpg,circle,train
Database\train\circle\circle-178.jpg,circle,train
Database\train\circle\circle-179.jpg,circle,train
Database\train\circle\circle-18.jpg,circle,train
Database\train\circle\circle-180.jpg,circle,train
Database\train\circle\circle-181.jpg,circle,train
Database\train\circle\circle-182.jpg,circle,train
Database\train\circle\circle-183.jpg,circle,train
Database\train\circle\circle-184.jpg,circle,train
Database\train\circle\circle-185.jpg,circle,train
Database\train\circle\circle-186.jpg,circle,train
Database\train\circle\circle-187.jpg,circle,train
Database\train\circle\circle-188.jpg,circle,train
Database\train\circle\circle-189.jpg,circle,train
Database\train\circle\circle-19.jpg,circle,train
Database\train\circle\circle-190.jpg,circle,train
Database\train\circle\circle-191.jpg,circle,train
Database\train\circle\circle-192.jpg,circle,train
Database\train\circle\circle-193.jpg,circle,train
Database\train\circle\circle-194.jpg,circle,train
Database\train\circle\circle-195.jpg,circle,train
Database\train\circle\circle-196.jpg,circle,train
Database\train\circle\circle-197.jpg,circle,train
Database\train\circle\circle-198.jpg,circle,train
Database\train\circle\circle-199.jpg,circle,train
